Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,Floor_size,Property_price_(per_month)
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,2,77 m²,R 10 550
2 Bedroom Apartment,Pritoria,Sunnyside,2,2,1,21 m²,R 6 500
0.5 Bedroom Apartment,Pritoria,Riviera,0.5,1,1,47 m²,R 4 000
1 Bedroom Apartment,Pritoria,Wonderboom South,1,1,1,149 m²,R 5 500
3 Bedroom Townhouse,Pritoria,Faerie Glen,3,2,4,58 m²,R 15 500
2 Bedroom Apartment,Pritoria,Waverley,2,1,4,62 m²,R 10 250
2 Bedroom Townhouse,Pritoria,The Wilds,2,2,2,237 m²,R 16 000
2 Bedroom Apartment,Pritoria,Montana,2,2,2,99 m²,R 8 900
1 Bedroom House,Pritoria,Ashlea Gardens,1,1,1,99 m²,R 16 500
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,1,99 m²,R 25 000
1 Bedroom Apartment,Pritoria,Montana,1,1,2,149 m²,R 7 000
2 Bedroom Apartment,Pritoria,Pretoria North,2,2,2,80 m²,R 6 800
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,,R 16 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,4,,R 16 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,4,,R 16 000
3 Bedroom House,Pritoria,Six Fountains Residential Estate,3,2.5,1,,R 38 000
3 Bedroom Townhouse,Pritoria,Faerie Glen,3,2,,,R 15 500
2 Bedroom Townhouse,Pritoria,Elarduspark,2,1.5,,,R 9 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,,,R 10 000
2 Bedroom Apartment,Pritoria,Waverley,2,1,4,71 m²,R 10 950
2 Bedroom Townhouse,Pritoria,Montana,2,2,4,64 m²,R 10 500
2 Bedroom House,Pritoria,Faerie Glen,2,2,2,137 m²,R 17 000
4 Bedroom House,Pritoria,Erasmusrand,4,2,2,45 m²,R 23 000
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,2,81 m²,R 9 000
3 Bedroom House,Pritoria,Roodeplaat,3,2,1,71 m²,R 17 900
1 Bedroom Apartment,Pritoria,Montana,1,1,3,100 m²,R 5 400
3 Bedroom Townhouse,Pritoria,Monument Park,3,2.5,1,80 m²,R 15 500
Apartment,Pritoria,Arcadia,2,1,1,80 m²,R 7 103
2 Bedroom Apartment,Pritoria,Montana Park,3,1,2,40 m²,R 8 840
3 Bedroom Townhouse,Pritoria,Six Fountains Residential Estate,2,2,2,56 m²,R 19 100
2 Bedroom Apartment,Pritoria,Equestria,2,2,2,,R 9 750
2 Bedroom Townhouse,Pritoria,Olympus AH,0.5,2,3,,R 18 000
0.5 Bedroom Apartment,Pritoria,Pretoria West,2,1,2,,R 3 800
2 Bedroom Apartment,Pritoria,Waverley,2,1,1,,R 10 950
