Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,Floor_size,Property_price_(per_month)
2 Bedroom House,Pritoria,Roodeplaat,2,1,2,,R 8 800
2 Bedroom Apartment,Pritoria,Rietvalleirand,2,2,2,,R 13 500
Apartment,Pritoria,Menlyn,2,2,1,,R 9 500
2 Bedroom Apartment,Pritoria,Montana,4,3,5,,R 10 500
4 Bedroom House,Pritoria,Waterkloof Ridge,1,1,1,,R 37 000
1 Bedroom Apartment,Pritoria,Gezina,1,1,1,,R 4 200
1 Bedroom Apartment,Pritoria,Pretoria Central,2,2,2,,R 5 500
2 Bedroom Apartment,Pritoria,Menlo Park,,,,,R 19 000
2 Bedroom Townhouse,Pritoria,Boardwalk,2,2,2,99 m²,R 15 500
2 Bedroom Townhouse,Pritoria,Boardwalk,2,2,2,99 m²,R 15 500
2 Bedroom Apartment,Pritoria,Waverley,2,1,2,82 m²,R 9 750
2 Bedroom Apartment,Pritoria,Menlyn,2,1,1,50 m²,R 9 800
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,131 m²,R 7 700
2 Bedroom Apartment,Pritoria,Rietvalleirand,2,2,2,74 m²,R 13 500
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,2,60 m²,R 13 500
2 Bedroom Apartment,Pritoria,Menlyn,2,1,1,43 m²,R 9 800
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,90 m²,R 10 200
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,105 m²,R 11 000
2 Bedroom Apartment,Pritoria,Hazeldean,2,1,1,1 m²,R 8 500
3 Bedroom Apartment,Pritoria,Hazeldean,3,2,2,97 m²,R 9 500
2 Bedroom Apartment,Pritoria,Pretoria West,2,1,4,,R 7 500
Apartment,Pritoria,Pretoria Central,3,2,2,,R 1 280
3 Bedroom Apartment,Pritoria,Moreleta Park,3,2,2,,R 8 500
3 Bedroom House,Pritoria,Nellmapius,3,2,4,,R 8 000
3 Bedroom Townhouse,Pritoria,Montana,2,1,5,,R 12 230
2 Bedroom Townhouse,Pritoria,Faerie Glen,2.5,1,,,R 8 850
2.5 Bedroom Apartment,Pritoria,Arcadia,4,2.5,,,R 7 350
4 Bedroom House,Pritoria,Waterkloof Ridge,3,2,,,R 35 000
3 Bedroom House,Pritoria,Erasmuskloof,,,,,R 28 000
2 Bedroom Townhouse,Pritoria,Montana,2,2.5,4,90 m²,R 10 000
3 Bedroom Townhouse,Pritoria,Annlin,3,2,5,76 m²,R 13 750
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,2,77 m²,R 13 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,2,100 m²,R 10 400
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,3,20 m²,R 19 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,34 m²,R 16 000
3 Bedroom Townhouse,Pritoria,Boardwalk Meander,3,2,2,78 m²,R 21 000
2 Bedroom Apartment,Pritoria,Arcadia,2,1,2,114 m²,R 7 500
1 Bedroom Apartment,Pritoria,Hillcrest,1,1,1,77 m²,R 6 300
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,2,80 m²,R 17 000
1 Bedroom Apartment,Pritoria,Silver Lakes Golf Estate,1,1,1,107 m²,R 7 000
1 Bedroom Apartment,Pritoria,Menlyn,1,1,1,,R 22 000
2 Bedroom Apartment,Pritoria,Waterkloof Marina Retirement Estate,2,1,2,,R 15 530
3 Bedroom Apartment,Pritoria,The Hills Game Reserve Estate,3,2,2,,R 14 000
2 Bedroom Apartment,Pritoria,Arcadia,2,1,1,,R 7 500
1 Bedroom Apartment,Pritoria,Olympus AH,1,1,1,,R 9 410
2 Bedroom Apartment,Pritoria,Erasmus Park,2,2,1,,R 12 000
1 Bedroom Apartment,Pritoria,Pretoria North,1,1,1,,R 4 200
1 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,1,1,2,,R 6 500
2 Bedroom Apartment,Pritoria,Olympus Heights Estate,2,1,2,,R 8 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,,,R 14 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,107 m²,R 14 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,107 m²,R 14 000
6 Bedroom House,Pritoria,Savannah Country Estate,6,6.5,3,99 m²,R 39 000
2 Bedroom Townhouse,Pritoria,Equestria,2,2,2,99 m²,R 13 500
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,148 m²,R 16 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,140 m²,R 16 000
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,3,148 m²,R 17 500
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,148 m²,R 19 000
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,3,148 m²,R 17 500
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,3,107 m²,R 17 500
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,3,56 m²,R 17 500
3 Bedroom House,Pritoria,Waterkloof,3,2,2,54 m²,R 35 000
1 Bedroom Apartment,Pritoria,Brooklyn,1,1,1,148 m²,R 10 489
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,2,,R 12 500
2 Bedroom Apartment,Pritoria,Sunnyside,2,1,1,,R 6 300
2 Bedroom Apartment,Pritoria,Waterkloof Ridge,2,2,1,,R 11 800
2 Bedroom Apartment,Pritoria,Lynnwood,2,1,1,,R 8 750
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,3,,R 17 500
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,1,,R 5 900
1 Bedroom Apartment,Pritoria,Montana,1,1,1,,R 5 400
2 Bedroom Apartment,Pritoria,Montana,2,1,2,,R 8 400
2 Bedroom Apartment,Pritoria,Greencreek Lifestyle Estate,2,2,2,66 m²,R 9 000
3 Bedroom Townhouse,Pritoria,Constantia Park,3,3,2,55 m²,R 30 000
3 Bedroom House,Pritoria,Sable Hills,3,2,4,90 m²,R 19 000
1 Bedroom Apartment,Pritoria,Montana,1,1,1,64 m²,R 5 400
2 Bedroom Apartment,Pritoria,Waterkloof Ridge,2,1,2,94 m²,R 17 000
4 Bedroom House,Pritoria,Muckleneuk,4,4,2,105 m²,R 36 000
2 Bedroom Apartment,Pritoria,Faerie Glen,2,2,1,112 m²,R 9 350
4 Bedroom House,Pritoria,Waterkloof,4,3,2,,R 37 000
2 Bedroom Townhouse,Pritoria,Rietvalleirand,2,1,2,,R 6 990
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,,R 9 500
2 Bedroom Apartment,Pritoria,Lynnwood,2,1,1,,R 12 000
3 Bedroom Townhouse,Pritoria,Equestria,3,2,3,,R 17 300
2 Bedroom Apartment,Pritoria,Hatfield,2,2,1,,R 10 400
Apartment,Pritoria,Arcadia,2,1,1,,R 2 903
2 Bedroom Apartment,Pritoria,Menlo Park,3,2,1,,R 14 400
3 Bedroom Apartment,Pritoria,Hazeldean,3,2,2,,R 10 500
3 Bedroom Townhouse,Pritoria,Constantia Park,2,3,1,,R 30 000
2 Bedroom Apartment,Pritoria,Hazeldean,2,1,2,,R 9 250
2 Bedroom Apartment,Pritoria,Menlo Park,3,2,2,,R 14 000
3 Bedroom Townhouse,Pritoria,Menlyn,3,2,2,,R 17 500
3 Bedroom Apartment,Pritoria,Sinoville,,2,,,R 7 250
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,2,107 m²,R 9 800
2 Bedroom House,Pritoria,Faerie Glen,2,1,4,107 m²,R 13 800
2 Bedroom Townhouse,Pritoria,Faerie Glen,2,1,1,99 m²,R 8 570
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,99 m²,R 14 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,237 m²,R 14 000
5 Bedroom House,Pritoria,Garsfontein,5,3,6,1 m²,R 25 000
3 Bedroom House,Pritoria,Monument Park,3,3,4,70 m²,R 18 500
3 Bedroom Townhouse,Pritoria,Moreleta Park,3,2,2,64 m²,R 12 500
2 Bedroom Apartment,Pritoria,Greencreek Lifestyle Estate,2,2,2,90 m²,R 9 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,,R 16 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,,R 16 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,,R 6 300
2 Bedroom Apartment,Pritoria,Montana Tuine,2,1,2,,R 6 500
3 Bedroom House,Pritoria,Olympus AH,3,2.5,2,,R 25 000
2 Bedroom Apartment,Pritoria,Roodeplaat,2,1,2,,R 8 560
2 Bedroom Apartment,Pritoria,Montana,2,1,1,,R 7 900
2 Bedroom Apartment,Pritoria,Waterkloof,2,2,2,,R 15 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,2,,R 6 300
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,,,R 12 000
2 Bedroom Apartment,Pritoria,Boardwalk,2,2,,,R 10 800
2 Bedroom Apartment,Pritoria,Monument Park,2,1,,,R 11 000
2 Bedroom Apartment,Pritoria,Philip Nel Park,2,1,1,56 m²,R 6 650
3 Bedroom Apartment,Pritoria,Rietfontein,3,2,2,106 m²,R 8 500
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,2,105 m²,R 16 000
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,1,46 m²,R 8 800
3 Bedroom House,Pritoria,Garsfontein,3,2,1,45 m²,R 14 495
0.5 Bedroom Apartment,Pritoria,Pretoria North,0.5,1,1,138 m²,R 3 450
1 Bedroom Apartment,Pritoria,Mooikloof Glen,1,1,2,,R 8 000
2 Bedroom Townhouse,Pritoria,Montana Park,2,1,2,,R 7 650
3 Bedroom House,Pritoria,Andeon,3,2,1,,R 12 000
0.5 Bedroom Apartment,Pritoria,Pretoria North,0.5,1,1,,R 3 950
2 Bedroom Apartment,Pritoria,Wolmer,2,1,2,,R 7 200
2 Bedroom Apartment,Pritoria,Six Fountains,2,2,2,,R 12 000
2 Bedroom Apartment,Pritoria,Montana,2,2,2,,R 8 600
2 Bedroom Apartment,Pritoria,Montana Park,2,1,2,,R 8 400
3 Bedroom House,Pritoria,Andeon,3,2,2,,R 9 250
2 Bedroom Apartment,Pritoria,Montana,2,2,2,,R 8 600
3 Bedroom House,Pritoria,Menlo Park,3,3.5,4,,R 25 000
5 Bedroom House,Pritoria,Elarduspark,5,5,2,,R 45 000
2 Bedroom Apartment,Pritoria,Country View Estate,2,1,4,,R 10 400
3 Bedroom House,Pritoria,Faerie Glen,3,3,2,,R 24 500
2 Bedroom House,Pritoria,Danville,2,2,,,R 6 200
2 Bedroom Apartment,Pritoria,Hatfield,2,2,1,81 m²,R 10 200
3 Bedroom Townhouse,Pritoria,Equestria,3,2,3,56 m²,R 14 980
2 Bedroom Apartment,Pritoria,Lynnwood,2,2,2,74 m²,R 20 000
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,1,65 m²,R 7 800
2 Bedroom Apartment,Pritoria,Waterkloof Ridge,2,2,2,88 m²,R 11 700
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,1,64 m²,R 9 420
2 Bedroom Apartment,Pritoria,Hatfield,2,2,2,99 m²,R 10 500
3 Bedroom House,Pritoria,Montana,3,2,4,55 m²,R 16 530
2 Bedroom Apartment,Pritoria,Menlo Park,2,2.5,2,65 m²,R 14 000
5 Bedroom House,Pritoria,Montana,5,4,4,76 m²,R 30 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,,R 14 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,1,,R 16 000
2 Bedroom Apartment,Pritoria,Philip Nel Park,2,1,1,,R 5 780
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,,R 8 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,,R 8 850
6 Bedroom House,Pritoria,Waterkloof,6,6,4,,R 70 000
3 Bedroom Apartment,Pritoria,Sinoville,3,2,1,,R 7 250
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,,R 9 000
5 Bedroom House,Pritoria,Montana,5,4,4,,R 30 000
3 Bedroom Townhouse,Pritoria,Garsfontein,3,1.5,1,,R 12 500
2 Bedroom Apartment,Pritoria,Magalieskruin,2,2,1,,R 8 000
1.5 Bedroom Apartment,Pritoria,Wonderboom South,1.5,1,1,72 m²,R 5 245
1 Bedroom Apartment,Pritoria,Gezina,1,1,1,48 m²,R 4 810
4 Bedroom House,Pritoria,Capital Park,4,1,1,44 m²,R 12 500
1 Bedroom Apartment,Pritoria,Annlin,1,1,1,90 m²,R 6 150
1 Bedroom Apartment,Pritoria,Olympus AH,1,1,1,120 m²,R 9 370
2 Bedroom Apartment,Pritoria,Moregloed,2,1,1,85 m²,R 8 000
1 Bedroom Apartment,Pritoria,Waterkloof Ridge,1,1,1,48 m²,R 13 000
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,220 m²,R 7 500
3 Bedroom House,Pritoria,Garsfontein,3,2,2,,R 16 200
1 Bedroom Apartment,Pritoria,Pretoria Central,1,1,2,,R 5 950
1 Bedroom Apartment,Pritoria,Mayville,2,1,1,,R 5 900
2 Bedroom Apartment,Pritoria,Olympus AH,1,1,2,,R 9 900
3 Bedroom House,Pritoria,Muckleneuk,2,2,4,,R 25 000
1 Bedroom Apartment,Pritoria,Annlin,3,3,1,,R 6 150
1 Bedroom Apartment,Pritoria,Philip Nel Park,1,1,1,,R 3 700
2 Bedroom House,Pritoria,Silverton,1,1,2,,R 9 900
3 Bedroom House,Pritoria,Danville,2,1,2,,R 11 000
2 Bedroom Apartment,Pritoria,Wolmer,3,2,1,,R 6 800
1 Bedroom Apartment,Pritoria,Roodeplaat,2,1,1,,R 4 500
0.5 Bedroom Apartment,Pritoria,Montana,1,1,1,,R 5 000
6 Bedroom House,Pritoria,Waterkloof,6,5,5,79 m²,R 65 000
1 Bedroom House,Pritoria,Rietfontein,1,1,1,71 m²,R 5 500
3 Bedroom Apartment,Pritoria,Sunnyside,3,2,3,10 m²,R 2 800
3 Bedroom House,Pritoria,Waterlake Farm Lifestyle Estate,3,2,1,252 m²,R 22 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,2,48 m²,R 12 000
2 Bedroom Apartment,Pritoria,Waverley,2,2,1,71 m²,R 11 000
2 Bedroom House,Pritoria,Mahube Valley,2,1,1,56 m²,R 5 500
Apartment,Pritoria,Sunnyside,1,1,1,,R 3 003
1 Bedroom Apartment,Pritoria,Pretoria North,1,1,2,,R 5 100
1 Bedroom Apartment,Pritoria,Pretoria North,1,1,2,,R 5 900
1 Bedroom Apartment,Pritoria,Hillcrest,4,1,1,,R 6 200
4 Bedroom House,Pritoria,Willow Acres,2,4,2,,R 25 000
2 Bedroom Apartment,Pritoria,Annlin,1,1,2,,R 7 400
1 Bedroom Apartment,Pritoria,Mooikloof,2,1,1,,R 7 500
2 Bedroom Apartment,Pritoria,Equestria,3,1,2,,R 10 500
3 Bedroom Townhouse,Pritoria,Die Wilgers,3,2,1,,R 10 600
3 Bedroom House,Pritoria,Elarduspark,3,3,1,,R 25 000
3 Bedroom House,Pritoria,Willow Park Manor,2,2.5,2,,R 13 000
2 Bedroom Apartment,Pritoria,La Montagne,1,1,,,R 7 950
1 Bedroom Apartment,Pritoria,Pretoria North,3,1,,,R 5 900
3 Bedroom House,Pritoria,Bougainvillea Estate,,2,,,R 23 500
4 Bedroom House,Pritoria,Faerie Glen,4,3,4,140 m²,R 29 000
3 Bedroom House,Pritoria,Erasmuskloof,3,3,1,140 m²,R 25 000
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,130 m²,R 19 000
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,80 m²,R 19 000
3 Bedroom Apartment,Pritoria,Brooklyn,3,2.5,2,68 m²,R 17 000
3 Bedroom Apartment,Pritoria,Greencreek Lifestyle Estate,3,2,2,64 m²,R 10 500
1 Bedroom Apartment,Pritoria,Lynnwood,1,1,2,110 m²,R 10 000
2 Bedroom Townhouse,Pritoria,La Montagne,2,1,1,64 m²,R 10 500
2 Bedroom Apartment,Pritoria,Montana,2,1,1,90 m²,R 9 500
3 Bedroom House,Pritoria,Erasmuskloof,3,3,2,1 m²,R 25 000
2 Bedroom Apartment,Pritoria,Montana,2,1,2,,R 7 900
2 Bedroom Apartment,Pritoria,Montana,2,2,1,,R 8 900
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,2,,R 12 000
3 Bedroom House,Pritoria,Wonderboom,3,2,1,,R 14 200
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,1,,R 8 525
3 Bedroom Apartment,Pritoria,Hillcrest,3,2,2,,R 13 500
2 Bedroom House,Pritoria,Lotus Gardens,2,1,2,,R 6 800
2 Bedroom Apartment,Pritoria,West Park,2,1,1,,R 6 200
3 Bedroom House,Pritoria,Kilner Park,3,3,,,R 10 500
3 Bedroom Apartment,Pritoria,Roodeplaat,3,2,,,R 9 950
2 Bedroom Apartment,Pritoria,Hatfield,2,1,,,R 8 500
1 Bedroom Apartment,Pritoria,Monument Park,1,1,1,50 m²,R 10 000
2 Bedroom Apartment,Pritoria,Baileys Muckleneuk,2,2,1,100 m²,R 16 500
3 Bedroom Townhouse,Pritoria,Monument Park,3,2,1,44 m²,R 15 500
3 Bedroom Apartment,Pritoria,Waverley,3,1,1,65 m²,R 13 800
5 Bedroom House,Pritoria,The Wilds,5,3,8,48 m²,R 39 520
2 Bedroom Apartment,Pritoria,Montana,2,2,1,62 m²,R 10 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,138 m²,R 8 500
1 Bedroom Apartment,Pritoria,Equestria,1,1,1,,R 8 900
3 Bedroom Townhouse,Pritoria,Magalieskruin,3,3,1,,R 11 000
2 Bedroom Apartment,Pritoria,Mooikloof Manor,2,2,1,,R 9 000
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,1,,R 6 100
3.5 Bedroom House,Pritoria,Waterkloof,3.5,2.5,2,,R 40 000
2 Bedroom Apartment,Pritoria,Waterkloof Ridge,2,2,2,,R 10 000
4 Bedroom House,Pritoria,Lynnwood Glen,4,3,4,,R 16 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,,R 8 050
1.5 Bedroom Apartment,Pritoria,Sunnyside,1.5,1,2,,R 5 950
2 Bedroom Apartment,Pritoria,Montana Tuine,2,1,1,,R 6 800
4 Bedroom House,Pritoria,Sable Hills,4,3,2,,R 29 500
3 Bedroom House,Pritoria,Waterlake Farm Lifestyle Estate,3,2,2,,R 22 000
3 Bedroom Townhouse,Pritoria,The Wilds,3,2,2,,R 17 500
5 Bedroom House,Pritoria,The Wilds,5,3,8,,R 39 520
7 Bedroom House,Pritoria,Magalieskruin,7,4,6,100 m²,R 21 000
2 Bedroom Townhouse,Pritoria,Brooklyn,2,2,4,30 m²,R 16 950
3 Bedroom Townhouse,Pritoria,Deerness,3,2,2,59 m²,R 11 300
1 Bedroom Apartment,Pritoria,Menlo Park,1,1,1,65 m²,R 13 990
3 Bedroom Townhouse,Pritoria,Faerie Glen,3,2,2,1 m²,R 13 400
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,2,,R 15 000
4 Bedroom House,Pritoria,Waterkloof Heights,4,3.5,4,,R 55 000
2 Bedroom House,Pritoria,Waterkloof Ridge,2,2,2,,R 13 500
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,,R 10 500
3 Bedroom Townhouse,Pritoria,Faerie Glen,3,2,2,,R 13 400
1 Bedroom Apartment,Pritoria,Erasmus Park,1,1,1,,R 8 100
2 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,2,2,1,,R 10 500
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,,R 10 500
1 Bedroom Apartment,Pritoria,Lynnwood Ridge,1,1,1,,R 7 100
4 Bedroom Townhouse,Pritoria,Roodeplaat,4,3,1,,R 10 000
3 Bedroom House,Pritoria,Olympus AH,3,2.5,4,,R 16 500
0.5 Bedroom Apartment,Pritoria,Hillcrest,0.5,1,1,,R 9 500
1 Bedroom Apartment,Pritoria,Andeon AH,1,1,1,,R 5 100
3 Bedroom House,Pritoria,Waterkloof Glen,3,3,4,,R 19 000
2 Bedroom Apartment,Pritoria,Queenswood,2,1,2,,R 7 150
2 Bedroom Apartment,Pritoria,Andeon AH,2,1,1,,R 7 910
1 Bedroom Apartment,Pritoria,Baileys Muckleneuk,1,1,1,39 m²,R 7 600
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,1,45 m²,R 11 000
2 Bedroom Apartment,Pritoria,Montana,2,1,2,160 m²,R 7 200
2 Bedroom Apartment,Pritoria,Hatfield,2,2,1,107 m²,R 9 000
2 Bedroom Townhouse,Pritoria,Equestria,2,2,2,237 m²,R 10 660
3 Bedroom House,Pritoria,Brooklyn,3,2,2,,R 25 500
0.5 Bedroom Apartment,Pritoria,La Montagne,0.5,1,1,,R 5 330
3 Bedroom Townhouse,Pritoria,Lynnwood Manor,3,2.5,2,,R 19 500
2 Bedroom Apartment,Pritoria,Montana,2,2,1,,R 10 500
1 Bedroom Apartment,Pritoria,Annlin-Wes,1,1,1,,R 6 150
1 Bedroom Apartment,Pritoria,Montana,1,1,1,,R 5 400
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,,R 14 000
1 Bedroom Apartment,Pritoria,Hatfield,1,2,1,,R 5 900
3 Bedroom Apartment,Pritoria,Kameeldrift East,3,2,1,,R 9 100
3 Bedroom Townhouse,Pritoria,Annlin,3,1.5,4,,R 9 000
4 Bedroom House,Pritoria,Waterkloof Ridge,4,3,4,,R 35 000
1 Bedroom Apartment,Pritoria,Montana,1,1,1,,R 5 400
3 Bedroom Townhouse,Pritoria,Faerie Glen,3,2,4,,R 15 000
2 Bedroom Townhouse,Pritoria,La Montagne,2,1,2,,R 11 000
1 Bedroom Apartment,Pritoria,Rietfontein,1,1,3,,R 5 500
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,,,R 25 000
6 Bedroom House,Pritoria,Lynnwood Glen,6,6,2,120 m²,R 4 250
Townhouse,Pritoria,Roodeplaat,2,1,1,79 m²,R 13 500
2 Bedroom Apartment,Pritoria,Montana,1,1,1,51 m²,R 7 200
1 Bedroom Apartment,Pritoria,Pretoria North,1,1,1,45 m²,R 3 800
1 Bedroom Apartment,Pritoria,Faerie Glen,0.5,1,4,,R 12 500
0.5 Bedroom Apartment,Pritoria,Hillcrest,3,2,6,,R 7 200
3 Bedroom Apartment,Pritoria,Roodepark Eco Estate,1,1,1,,R 10 000
1 Bedroom House,Pritoria,Silver Lakes,5,5,1,,R 10 500
5 Bedroom House,Pritoria,Waterkloof Heights,5,4,2,,R 99 000
5 Bedroom House,Pritoria,Waterkloof Ridge,1,1,2,,R 42 000
1 Bedroom Apartment,Pritoria,Mayville,1,1,1,,R 5 500
1 Bedroom Apartment,Pritoria,Hatfield,1,1,4,,R 9 300
1 Bedroom House,Pritoria,Blyde Riverwalk Estate,1,1,2,,R 10 000
1 Bedroom Apartment,Pritoria,Rietfontein,4,3,1,,R 6 300
4 Bedroom Apartment,Pritoria,Roodeplaat,1,1,2,,R 10 000
1 Bedroom Apartment,Pritoria,Sunnyside,4,3,,,R 5 650
4 Bedroom House,Pritoria,Lynnwood,2,1,,,R 28 600
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,,,R 6 600
2 Bedroom Townhouse,Pritoria,Lynnwood,2,1,,,R 14 500
2 Bedroom Apartment,Pritoria,Dorandia,2,1,,,R 7 200
2 Bedroom Townhouse,Pritoria,Lynnwood,,,,,R 14 500
3 Bedroom Townhouse,Pritoria,Montana,3,2,4,104 m²,R 18 730
3 Bedroom House,Pritoria,Silver Lakes Golf Estate,3,2,4,45 m²,R 29 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,3,4,45 m²,R 23 000
3 Bedroom House,Pritoria,Silver Lakes Golf Estate,3,2,1,99 m²,R 29 000
1 Bedroom Apartment,Pritoria,Pretoria West,1,1,1,99 m²,R 6 500
1 Bedroom Apartment,Pritoria,Lynnwood Glen,1,1,10,99 m²,R 6 900
8 Bedroom House,Pritoria,Hatfield,8,7,2,56 m²,R 4 450
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,60 m²,R 16 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,99 m²,R 16 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,1,,R 16 000
1 Bedroom Apartment,Pritoria,Montana,1,1,2,,R 5 600
0.5 Bedroom Apartment,Pritoria,Eloffsdal,0.5,1,1,,R 3 940
3 Bedroom Townhouse,Pritoria,Lynnwood Glen,3,2,2,,R 22 500
2.5 Bedroom Apartment,Pritoria,Silverton,2.5,1,2,,R 7 000
2 Bedroom Apartment,Pritoria,Equestria,2,2,5,,R 10 500
House,Pritoria,Waterkloof Ridge,1,1,1,,R 29 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,2,,R 8 500
2 Bedroom Townhouse,Pritoria,Lynnwood Glen,2,1,2,,R 8 750
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,,R 16 000
2 Bedroom Apartment,Pritoria,Montana Park,2,2,,,R 8 900
1 Bedroom Apartment,Pritoria,Waverley,1,1,2,68 m²,R 4 000
4 Bedroom House,Pritoria,Equestria,4,3,4,16 m²,R 23 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,8 m²,R 3 800
3 Bedroom House,Pritoria,Lotus Gardens,3,2,2,111 m²,R 7 000
3 Bedroom House,Pritoria,Kirkney,3,2,2,134 m²,R 7 500
3 Bedroom Townhouse,Pritoria,Waterkloof,3,3.5,2,83 m²,R 25 000
3 Bedroom Townhouse,Pritoria,Willow Park Manor,3,2,2,75 m²,R 13 500
1 Bedroom Apartment,Pritoria,Val De Grace,1,1,3,249 m²,R 2 550
4 Bedroom House,Pritoria,Waverley,4,2.5,2,64 m²,R 20 600
Apartment,Pritoria,Pretoria Central,2,2,1,65 m²,R 3 203
2 Bedroom Apartment,Pritoria,Muckleneuk,3,2,2,,R 35 000
3 Bedroom Townhouse,Pritoria,Willow Park Manor,1,1,1,,R 13 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,2,,R 9 500
3 Bedroom Townhouse,Pritoria,Six Fountains Residential Estate,2,1,3,,R 20 000
2 Bedroom Apartment,Pritoria,Mooikloof Ridge,1,1,3,,R 8 500
1 Bedroom Apartment,Pritoria,Rietfontein,2,2,1,,R 4 200
2 Bedroom Apartment,Pritoria,Hatfield,3,2.5,2,,R 10 990
3 Bedroom House,Pritoria,Menlo Park,4,5,,,R 34 000
4 Bedroom House,Pritoria,Paradiso,2,2,,,R 47 900
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,,,R 14 000
2 Bedroom Apartment,Pritoria,Mooikloof,,,,,R 9 500
Townhouse,Pritoria,Andeon,4,2,1,86 m²,R 7 500
4 Bedroom House,Pritoria,Pretoria West,4,4.5,4,107 m²,R 11 500
4 Bedroom House,Pritoria,Waterkloof Heights,2,3,2,40 m²,R 60 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,2,50 m²,R 23 000
2 Bedroom Townhouse,Pritoria,Olympus AH,5,5,4,140 m²,R 14 000
5 Bedroom House,Pritoria,Elandsfontein AH,3,3,2,,R 15 500
3 Bedroom House,Pritoria,Boardwalk,2.5,2,1,,R 23 000
2.5 Bedroom Apartment,Pritoria,Annlin,2,1,1,,R 11 206
2 Bedroom House,Pritoria,Equestria,3,2,4,,R 12 000
3 Bedroom Townhouse,Pritoria,Andeon,3,2,1,,R 8 500
